b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,landuse
1156,1253,1408,1294,1798,2821,3089,3269,3413,3479,2650,1840,73
1186,1191,1291,1175,1502,2702,3198,3390,3447,3644,2038,1497,71
1356,1519,1654,1654,2056,2940,3342,3638,3729,3612,3207,2321,73
1177,1322,1504,1284,1817,3505,4170,4402,4403,4083,2476,1708,71
1222,1459,1642,1609,2025,2851,3189,3462,3469,3694,3013,2272,61
1842,2007,2103,2196,2170,2219,2219,2196,2205,2188,2210,2151,52
1421,1681,1868,1762,2096,3373,3862,4104,4131,4123,2745,2093,73
1222,1288,1420,1256,1681,3216,3712,3865,4025,4204,2381,1679,72
1193,1308,1402,1220,1556,2841,3362,3589,3565,3607,2063,1502,71
1182,1258,1403,1250,1738,3089,3517,3762,3846,3777,2438,1692,71
1180,1325,1428,1228,1677,3356,3788,3912,4061,3924,2221,1542,71
1606,1948,2168,2294,2314,2558,2726,2798,2711,2695,2527,2165,72
1261,1427,1667,1421,2078,4304,5115,5514,5507,4638,2709,1870,72
1541,1879,1886,1655,2015,3391,3853,3905,4057,4319,2450,2052,73
1253,1331,1469,1362,1713,2494,2719,2898,2924,2947,2305,1732,73
1247,1377,1540,1312,1900,3653,4159,4344,4425,4013,2342,1608,71
1275,1360,1456,1302,1648,2890,3387,3614,3648,4115,2207,1639,71
1636,1674,1979,2135,2520,3351,3728,3911,3913,3845,3124,2393,61
1121,1199,1301,1230,1544,2561,2880,3068,3102,3160,1909,1461,73
1151,1261,1463,1313,1886,3025,3318,3547,3627,3423,2554,1800,73
1077,1167,1319,1171,1629,3300,3853,4119,4189,3966,2082,1454,71
1281,1413,1535,1457,1858,2687,2945,3127,3214,3230,2764,2004,73
1351,1466,1547,1399,1707,3091,3676,3959,3908,3798,2177,1688,71
1160,1245,1391,1274,1711,2682,2966,3130,3217,3438,2404,1728,73
1144,1239,1398,1246,1687,3081,3607,3825,3873,4008,2267,1625,71
1947,2418,2691,2930,3190,3631,3791,3944,3925,3378,3620,3131,11
1289,1363,1536,1334,1876,3765,4524,4838,4803,4509,2719,1894,71
1166,1241,1371,1198,1611,2984,3457,3661,3708,4065,2101,1500,71
1212,1289,1434,1258,1711,3135,3677,3889,3953,3814,2209,1566,72
1241,1331,1462,1349,1703,2968,3424,3696,3722,3651,2290,1639,71
1586,1623,1913,1485,2210,4584,5375,5873,5688,3419,2852,1895,73
1152,1258,1355,1212,1525,2540,2931,3047,3128,3357,1913,1433,71
2646,3000,3597,4109,4191,4199,4275,4368,4249,3975,4619,4283,53
1191,1250,1465,1281,1924,3501,3956,4238,4330,3887,2615,1781,72
2269,2840,3174,3485,3539,3460,3592,3706,3624,2542,3550,3239,42
1335,1353,1422,1261,1595,2891,3402,3595,3666,3761,2105,1533,71
1259,1376,1498,1456,1847,2557,2780,2962,3034,3034,2804,2076,73
1192,1317,1511,1297,1855,3889,4690,5001,5018,4752,2735,1833,71
1203,1245,1265,1134,1331,2252,2710,2913,2904,3758,1791,1412,71
1176,1247,1402,1209,1727,3255,3793,3960,4062,3764,2259,1606,71
1155,1220,1380,1213,1694,3063,3559,3798,3875,3946,2230,1579,71
